Column1,Column2
할리스커피 광주첨단2지구점,광주광역시 북구 첨단연신로91번길 10
할리스커피 광주금호점,광주광역시 서구 운천로 3 1층
할리스커피광주문흥점,광주광역시 북구 서하로 373
할리스커피 전남대상대점,광주광역시 북구 설죽로202번길 68
할리스커피 광주우산점,광주광역시 광산구 우산동 1363-2
할리스커피 광주동림동점,광주광역시 서구 하남대로680번길 1 1층
할리스커피 유스퀘어CGV점,광주광역시 서구 무진대로 904 유스퀘어 2층
할리스커피 광주비엔날레점,광주광역시 북구 비엔날레로 109-1
할리스커피광주아울렛점,광주광역시 서구 상무대로 633
할리스커피 광주아울렛점,광주광역시 서구 상무대로 627
할리스커피 광주문흥점,광주광역시 북구 서하로 373 102호
할리스커피 광주문흥점,광주광역시 북구 서하로 373 102호
할리스커피 하남점,광주광역시 광산구 용아로 400
할리스커피광주풍암점전용주차장,광주광역시 서구 풍암동
빽다방 광주충장로1호점,광주광역시 동구 중앙로160번길 15-6
빽다방 광주상무역점,광주광역시 서구 치평로 20
빽다방 전남대후문점,광주광역시 북구 우치로90번길 16
빽다방 상무메가점,광주광역시 서구 시청로60번길 21-6 1층 101호
빽다방 광주수완대로점,광주광역시 광산구 장신로 135
빽다방 광주충장로2호점,광주광역시 동구 금남로 246
빽다방 광주첨단로데오점,광주광역시 광산구 첨단중앙로106번길 11 104호
빽다방 조선대후문점,광주광역시 동구 필문대로273번길 8
빽다방 봉선쌍용점,광주광역시 남구 봉선로 172
빽다방 광주구시청점,광주광역시 동구 백서로125번길 45 1층
빽다방 광천사거리점,광주광역시 서구 죽봉대로 95
엔제리너스커피 광주광천DT점,광주광역시 서구 무진대로 933
엔제리너스 상무DT점,광주광역시 서구 상무대로 778
엔제리너스 광주용봉점,광주광역시 북구 용봉택지로 80
엔제리너스 광주수완점,광주광역시 광산구 임방울대로 338
엔제리너스 광주하남점,광주광역시 광산구 풍영철길로 15 콜럼버스웨팅홀
엔제리너스커피광주첨단점,광주광역시 광산구 첨단중앙로 158
엔제리너스커피광주신창점,광주광역시 광산구 왕버들로 265
엔제리너스 광주봉선중앙점,광주광역시 남구 봉선로 152
엔제리너스광주흑석점,광주광역시 광산구 사암로383번길 6
엔제리너스 광주오치점,광주광역시 북구 설죽로 305
엔제리너스 광주운암DT점,광주광역시 북구 북문대로 177
엔제리너스상무D/T점,광주광역시 서구 상무대로 778
엔제리너스 광주터미널점,광주광역시 서구 무진대로 904 1층 엔제리너스
엔제리너스 광주농성DI점,광주광역시 서구 죽봉대로 21-1
엔제리너스 광주빛고을점,광주광역시 남구 효우로 170-1
엔제리너스 광주금호점,광주광역시 서구 풍금로 157
엔제리너스 광주문흥점,광주광역시 북구 서하로 376
엔제리너스 광주풍암점,광주광역시 서구 풍암신흥로 91
엔제리너스 롯데시네광주점,광주광역시 동구 독립로 268 롯데백화점광주점 10F
엔제리너스 롯데아울렛광주월드컵점,광주광역시 서구 금화로 240 롯데아울렛 2F
엔제리너스호남대점,광주광역시 광산구 어등대로 416
엔제리너스 광주학동점,광주광역시 동구 남문로 686
엔제리너스 롯데아울렛광주수완점,광주광역시 광산구 장신로 98 롯데아울렛 광주수완점 B블럭 3층
엔제리너스 광주두암점,광주광역시 북구 갈마로 53
엔제리너스 광주공항점,광주광역시 광산구 상무대로 420-25 광주공항 2층
엔제리너스 홈플러스동광주점,광주광역시 북구 동문대로 200 삼성홈플러스
엔제리너스 조선대국제관점,광주광역시 동구 필문대로 309
엔제리너스 조선대입석홀점,광주광역시 동구 필문대로 309
탐앤탐스 광주운암점,광주광역시 북구 서강로 78
탐앤탐스 조선대학교점,광주광역시 동구 필문대로273번길 30
커피베이 광주신가점,광주광역시 광산구 신창로35번길 3 1층 1호
커피베이 송정점,광주광역시 광산구 내상로 67
커피베이 광주화정점,광주광역시 서구 화운로23번길 4
커피베이 광주쌍암점,광주광역시 광산구 앰코로 25
커피베이광주선운점,광주광역시 광산구 어등대로 422
커피베이 신안점,광주광역시 북구 태봉로 71
커피베이광주첨단자이점,광주광역시 북구 임방울대로1042번길 14-6
커피베이 각화점,광주광역시 북구 군왕로 297 솔로몬타워 1층 107호
커피베이 광주충장로점,광주광역시 동구 충장로 102-6
커피베이 광주양산점,광주광역시 북구 하서로 410 1층 커피베이
커피베이 광주용봉점,광주광역시 북구 용봉택지로 39 1층 112호
커피베이 전남대학교점,광주광역시 북구 용주로30번길 29 1층
달콤커피 광주첨단점,광주광역시 광산구 임방울대로 788
달콤커피 전남대후문점,광주광역시 북구 우치로 72
달콤커피 광주금호점,광주광역시 서구 금화로 89
달콤커피 첨단2지구점,광주광역시 북구 첨단연신로108번길 22
달콤커피 상무컨벤션점,광주광역시 서구 상무공원로 7
달콤커피 광주시청점,광주광역시 서구 상무시민로 103
달콤커피 광주양산점,광주광역시 북구 하서로 400 1층
달콤커피 광주유스퀘어점,광주광역시 서구 무진대로 904
달콤커피 광주대인점,광주광역시 동구 제봉로 197
달콤커피 광주노대점,광주광역시 남구 효덕로 200
달콤커피 광주운남점,광주광역시 광산구 풍영로 43
달콤커피 상무SK뷰점,광주광역시 서구 마륵복개로150번길 1-1
달콤커피 광주일곡점,광주광역시 북구 일곡마을로 149 1층 달콤커피 광주일곡점
달콤커피 Volume.356 전남대점,광주광역시 북구 설죽로214번길 95-1
커피에반하다 광주신가점,광주광역시 광산구 수등로 263
커피에반하다 광주진월점,광주광역시 남구 화산로 33
커피에반하다 광주무등산점 커반24,광주광역시 동구 증심사길 28-17
